app_name,shortcut_name,key_combination,description,tags
Raycast,Global Hotkey,Shift-Option-Command,Main Raycast launcher hotkey,"productivity,launcher,utility"
Raycast,Command+W,⌘W,Close Raycast window (onboarding shortcut),"productivity,window-management"
System Preferences,Left Half Window,Left Arrow + Control,Move window to left half of screen,"system,window-management"
System Preferences,Maximize Window,Up Arrow + Control,Maximize window to full screen,"system,window-management"
System Preferences,Right Half Window,Right Arrow + Control,Move window to right half of screen,"system,window-management"
Symbolic Hotkeys,Turn Dock Hiding On/Off,Fn + F11,Toggle dock auto-hide feature,"system,dock,navigation"
Symbolic Hotkeys,Show Launchpad,Fn + Shift + F11,Open Launchpad for app access,"system,dock,navigation"
Symbolic Hotkeys,Show Notification Center,Fn + F16,Open Notification Center,"system,notifications"
Symbolic Hotkeys,Turn Do Not Disturb On/Off,Fn + F17,Toggle Do Not Disturb mode,"system,notifications"
Symbolic Hotkeys,Show Notification Center (Alt),Fn + Option + F16,Alternative Notification Center shortcut,"system,notifications"
Symbolic Hotkeys,Turn Do Not Disturb On/Off (Alt),Fn + Option + F17,Alternative Do Not Disturb shortcut,"system,notifications"
Symbolic Hotkeys,Mission Control,Fn + Shift + Left Arrow,Open Mission Control view,"system,window-management"
Symbolic Hotkeys,Application Windows,Fn + Shift + Right Arrow,Show all windows for current app,"system,window-management"
Symbolic Hotkeys,Change Tab Focus,Control + Tab,Change how Tab key moves focus,"system,navigation,accessibility"
Symbolic Hotkeys,Launchpad (F5),Fn + F5,Open Launchpad,"system,dock,navigation"
Services Menu,Send to Keka,Ctrl + Cmd + K,Send files to Keka for compression,"compression,archiving"
Services Menu,Extract using Keka,Ctrl + Cmd + X,Extract archives using Keka,"compression,archiving,extraction"
Services Menu,Compress using Keka,Ctrl + Cmd + C,Compress files using Keka,"compression,archiving"
Services Menu,Convert to Traditional Chinese,Shift + Ctrl + Option + C,Convert simplified to traditional Chinese text,"text,chinese,localization"
Services Menu,Convert to Simplified Chinese,Shift + Ctrl + Option + Tilde + C,Convert traditional to simplified Chinese text,"text,chinese,localization"
Xcode,Build,⌘B,Build current project,"build,compile,ios,macos,swift"
Xcode,Run,⌘R,Run current project,"run,debug,ios,macos,swift"
Xcode,Test,⌘U,Run unit tests,"test,unit-testing,ios,macos,swift"
Xcode,Stop,⌘.,Stop current build/run,"stop,build,run,ios,macos,swift"
Xcode,Clean Build Folder,⌘⇧K,Clean build folder,"clean,build,ios,macos,swift"
Xcode,Build and Run,⌘⇧R,Build and run without debugging,"run,build,ios,macos,swift"
Xcode,Profile,⌘I,Profile app with Instruments,"profile,performance,debug,ios,macos,swift"
Xcode,Archive,⌘⇧B,Archive for distribution,"archive,distribution,ios,macos,swift"
Xcode,Quick Open,⌘⇧O,Quickly open file by name,"navigation,file-management,productivity,ios,macos,swift"
Xcode,Jump to Definition,⌘⌃J,Jump to definition of symbol,"navigation,code-navigation,ios,macos,swift"
Xcode,Find Navigator,⌘3,Show find navigator,"navigation,search,ios,macos,swift"
Xcode,Issue Navigator,⌘4,Show issue navigator,"debugging,error-handling,ios,macos,swift"
Xcode,Debug Navigator,⌘6,Show debug navigator,"debugging,runtime,ios,macos,swift"
Xcode,Breakpoint Navigator,⌘7,Show breakpoint navigator,"debugging,breakpoints,ios,macos,swift"
Xcode,Report Navigator,⌘9,Show report navigator,"build,logs,ios,macos,swift"
Xcode,Show/Hide Debug Area,⌘⇧Y,Toggle debug area visibility,"debugging,workspace,ios,macos,swift"
Xcode,Show/Hide Navigator,⌘0,Toggle navigator area,"workspace,layout,ios,macos,swift"
Xcode,Show/Hide Inspector,⌘⌥0,Toggle inspector area,"workspace,layout,ios,macos,swift"
Xcode,Comment/Uncomment,⌘/,Toggle line comments,"editing,code-formatting,ios,macos,swift"
Xcode,Indent,⌘],Indent selected lines,"editing,code-formatting,ios,macos,swift"
Xcode,Outdent,⌘[,Outdent selected lines,"editing,code-formatting,ios,macos,swift"
Xcode,Show Completions,⌃Space,Show code completions,"editing,autocomplete,ios,macos,swift"
Xcode,Find in Project,⌘⇧F,Find in project,"search,global-search,ios,macos,swift"
Xcode,Replace in Project,⌘⌥⇧F,Replace in project,"search,global-replace,ios,macos,swift"
Xcode,New File,⌘N,Create new file,"file-management,project-management,ios,macos,swift"
Xcode,New Project,⌘⇧N,Create new project,"project-management,ios,macos,swift"
Xcode,Show Documentation,⌘⇧0,Show documentation window,"documentation,reference,ios,macos,swift"
Xcode,Jump to Line,⌘L,Jump to specific line number,"navigation,goto,ios,macos,swift"
Xcode,Add Breakpoint,⌘\,Add/remove breakpoint,"debugging,breakpoints,ios,macos,swift"
Xcode,Continue,⌘⌃Y,Continue execution,"debugging,runtime,ios,macos,swift"
GitHub Desktop,Repository Browser,⌘T,Browse repositories,"git,repository-management,version-control"
GitHub Desktop,Clone Repository,⌘⇧O,Clone a repository,"git,clone,version-control"
GitHub Desktop,Create Branch,⌘⇧N,Create new branch,"git,branching,version-control"
GitHub Desktop,Switch Branch,⌘B,Switch between branches,"git,branching,version-control"
GitHub Desktop,Pull,⌘⇧P,Pull changes from remote,"git,sync,version-control"
GitHub Desktop,Push,⌘P,Push changes to remote,"git,sync,version-control"
GitHub Desktop,Commit,⌘Return,Commit staged changes,"git,commit,version-control"
GitHub Desktop,Show Changes,⌘D,Show diff of changes,"git,diff,version-control"
GitHub Desktop,Discard Changes,⌘⌥Z,Discard selected changes,"git,undo,version-control"
GitHub Desktop,Show History,⌘H,Show commit history,"git,history,version-control"
GitHub Desktop,View Repository on GitHub,⌘⇧G,Open repository on GitHub.com,"git,web,version-control"
GitHub Desktop,Show in Finder,⌘⇧A,Show repository in Finder,"file-management,git,version-control"
CotEditor,New Document,⌘N,Create new document,"file-management,text-editing"
CotEditor,Open Document,⌘O,Open existing document,"file-management,text-editing"
CotEditor,Save Document,⌘S,Save current document,"file-management,text-editing"
CotEditor,Find,⌘F,Find text in document,"search,text-editing"
CotEditor,Replace,⌘⌥F,Find and replace text,"search,text-editing,replace"
CotEditor,Line Numbers,⌘L,Toggle line numbers,"text-editing,line-numbers,display"
CotEditor,Syntax Highlighting,⌘⇧S,Change syntax highlighting,"text-editing,syntax,highlighting"
CotEditor,Comment,⌘/,Toggle line comments,"text-editing,commenting,code"
CotEditor,Increase Indent,⌘],Increase line indentation,"text-editing,indentation,code"
CotEditor,Decrease Indent,⌘[,Decrease line indentation,"text-editing,indentation,code"
CotEditor,Go to Line,⌘G,Go to specific line,"navigation,goto,text-editing"
Sketch,New Document,⌘N,Create new document,"design,artboard,ui-design"
Sketch,Duplicate,⌘D,Duplicate selected object,"design,duplication,ui-design"
Sketch,Group,⌘G,Group selected objects,"design,organization,ui-design"
Sketch,Ungroup,⌘⇧G,Ungroup selected group,"design,organization,ui-design"
Sketch,Copy Style,⌘⌥C,Copy object style,"design,styling,ui-design"
Sketch,Paste Style,⌘⌥V,Paste object style,"design,styling,ui-design"
Sketch,Zoom to Fit,⌘0,Zoom to fit all content,"design,zoom,navigation,ui-design"
Sketch,Zoom to Selection,⌘1,Zoom to selected object,"design,zoom,navigation,ui-design"
Sketch,Actual Size,⌘2,Zoom to 100%,"design,zoom,navigation,ui-design"
Sketch,Hide/Show Layers,⌘⌥1,Toggle layers panel,"design,workspace,ui-design"
Sketch,Hide/Show Inspector,⌘⌥2,Toggle inspector panel,"design,workspace,ui-design"
Sketch,Export,⌘E,Export selected objects,"design,export,ui-design"
Draw.io,New Diagram,⌘N,Create new diagram,"diagram,flowchart,design"
Draw.io,Open Diagram,⌘O,Open existing diagram,"diagram,file-management"
Draw.io,Save Diagram,⌘S,Save current diagram,"diagram,file-management"
Draw.io,Undo,⌘Z,Undo last action,"editing,undo,diagram"
Draw.io,Redo,⌘⇧Z,Redo last undone action,"editing,redo,diagram"
Draw.io,Copy,⌘C,Copy selected elements,"editing,clipboard,diagram"
Draw.io,Paste,⌘V,Paste copied elements,"editing,clipboard,diagram"
Draw.io,Select All,⌘A,Select all elements,"editing,selection,diagram"
Draw.io,Group,⌘G,Group selected elements,"editing,organization,diagram"
Draw.io,Ungroup,⌘⇧G,Ungroup selected group,"editing,organization,diagram"
Draw.io,Bring to Front,⌘⇧],Bring element to front,"editing,layering,diagram"
Draw.io,Send to Back,⌘⇧[,Send element to back,"editing,layering,diagram"
Draw.io,Zoom In,⌘+,Zoom in,"navigation,zoom,diagram"
Draw.io,Zoom Out,⌘-,Zoom out,"navigation,zoom,diagram"
Draw.io,Fit Page,⌘0,Fit diagram to page,"navigation,zoom,diagram"
Windsurf,Command Palette,⌘⇧P,Open command palette,"ai-coding,command-palette,code-editor"
Windsurf,Quick Open,⌘P,Quick open file,"ai-coding,file-navigation,code-editor"
Windsurf,New File,⌘N,Create new file,"ai-coding,file-management,code-editor"
Windsurf,Save File,⌘S,Save current file,"ai-coding,file-management,code-editor"
Windsurf,Find,⌘F,Find in current file,"ai-coding,search,code-editor"
Windsurf,Find in Files,⌘⇧F,Find across all files,"ai-coding,global-search,code-editor"
Windsurf,Replace,⌘⌥F,Find and replace,"ai-coding,search,replace,code-editor"
Windsurf,Go to References,⇧F12,Find all references,"ai-coding,navigation,code-editor"
Windsurf,Comment Line,⌘/,Toggle line comment,"ai-coding,commenting,code-editor"
Windsurf,Format Document,⌘⇧F,Format entire document,"ai-coding,formatting,code-editor"
Windsurf,Show Problems,⌘⇧M,Show problems panel,"ai-coding,debugging,code-editor"
Windsurf,Terminal,⌘`,Open integrated terminal,"ai-coding,terminal,code-editor"
Windsurf,Explorer,⌘⇧E,Show file explorer,"ai-coding,file-management,code-editor"
Windsurf,Source Control,⌘⇧G,Show source control,"ai-coding,git,version-control,code-editor"
Windsurf,Extensions,⌘⇧X,Show extensions,"ai-coding,extensions,code-editor"
Windsurf,Debug,⌘⇧D,Show debug panel,"ai-coding,debugging,code-editor"
Windsurf,Run Task,⌘⇧P → Tasks,Run build/test tasks,"ai-coding,build,automation,code-editor"
VSCode,Command Palette,⌘⇧P,Open command palette,"code-editor,command-palette"
VSCode,Quick Open,⌘P,Quick open file,"code-editor,file-navigation"
VSCode,New File,⌘N,Create new file,"code-editor,file-management"
VSCode,Save File,⌘S,Save current file,"code-editor,file-management"
VSCode,Find,⌘F,Find in current file,"code-editor,search"
VSCode,Find in Files,⌘⇧F,Find across all files,"code-editor,global-search"
VSCode,Replace,⌘⌥F,Find and replace,"code-editor,search,replace"
VSCode,Go to References,⇧F12,Find all references,"code-editor,navigation"
VSCode,Comment Line,⌘/,Toggle line comment,"code-editor,commenting"
VSCode,Format Document,⌘⇧F,Format entire document,"code-editor,formatting"
VSCode,Show Problems,⌘⇧M,Show problems panel,"code-editor,debugging"
VSCode,Terminal,⌘`,Open integrated terminal,"code-editor,terminal"
VSCode,Explorer,⌘⇧E,Show file explorer,"code-editor,file-management"
VSCode,Source Control,⌘⇧G,Show source control,"code-editor,git,version-control"
VSCode,Extensions,⌘⇧X,Show extensions,"code-editor,extensions"
VSCode,Debug,⌘⇧D,Show debug panel,"code-editor,debugging"
VSCode,Run Task,⌘⇧P → Tasks,Run build/test tasks,"code-editor,build,automation"
VSCode,Toggle Sidebar,⌘B,Toggle sidebar visibility,"code-editor,workspace"
VSCode,Zen Mode,⌘K Z,Enter distraction-free mode,"code-editor,focus"
VSCode,Split Editor,⌘\,Split editor vertically,"code-editor,workspace"
VSCode,Close Editor,⌘W,Close current editor tab,"code-editor,workspace"
VSCode,New Terminal,⌘⇧`,Create new terminal,"code-editor,terminal"
VSCode,Go to Line,⌘G,Go to specific line,"code-editor,navigation"
VSCode,Peek Definition,⌥F12,Peek definition inline,"code-editor,navigation"
VSCode,Show All Symbols,⌘T,Show all symbols in workspace,"code-editor,navigation"
VSCode Insiders,Command Palette,⌘⇧P,Open command palette,"code-editor,beta,command-palette"
VSCode Insiders,Quick Open,⌘P,Quick open file,"code-editor,beta,file-navigation"
VSCode Insiders,New File,⌘N,Create new file,"code-editor,beta,file-management"
VSCode Insiders,Debug,⌘⇧D,Show debug panel,"code-editor,beta,debugging"
VSCode Insiders,Terminal,⌘`,Open integrated terminal,"code-editor,beta,terminal"
VSCode Insiders,Extensions,⌘⇧X,Show extensions,"code-editor,beta,extensions"
ChatGPT Desktop,Toggle Launcher,Option+Space,Open/close the main ChatGPT launcher,"launcher,quick-access"
Discord,Mute/Unmute,Cmd+Shift+M,Mute or unmute microphone during voice chat,"voice,communication"
Discord,Deafen/Undeafen,Cmd+Shift+D,Toggle deafen to stop hearing all audio,"voice,communication"
Discord,Toggle Camera,Cmd+Shift+O,Turn camera on/off during video call,"video,communication"
Discord,Call,Cmd+Shift+R,Start a voice call in current channel/DM,calling
Messages,Archive Conversation,Cmd+Shift+A,Archive the current conversation,organization
FaceTime,Mute/Unmute,Cmd+Shift+M,Toggle microphone mute during call,"voice,communication"
FaceTime,Toggle Camera,Cmd+Shift+O,Turn camera on/off during video call,"video,communication"
FaceTime,Full Screen,Cmd+Ctrl+F,Enter/exit full screen mode,interface
Zoom,Mute/Unmute,Cmd+Shift+A,Toggle microphone mute during meeting,"voice,communication"
Zoom,Start/Stop Video,Cmd+Shift+V,Toggle camera on/off during meeting,"video,communication"
Zoom,Share Screen,Cmd+Shift+S,Start or stop screen sharing,screen-sharing
Zoom,Record Meeting,Cmd+Shift+R,Start/stop recording the meeting,recording
Zoom,Chat,Cmd+Shift+H,Open/close the chat panel,messaging
Zoom,End Meeting,Cmd+Shift+Q,End meeting for all participants,"calling,management"
Notion,Search,Cmd+Shift+P,Global search across workspace,search
Outlook,Reply All,Cmd+Shift+R,Reply to all recipients,"email,communication"
Outlook,Forward,Cmd+Shift+F,Forward the selected email,"email,sharing"
Outlook,Search,Cmd+Shift+F,Search emails and calendar items,search
System,Notification Center,Fn+N,Open notification center,notifications
System,Do Not Disturb,Option+Click Notification Center,Toggle Do Not Disturb mode,notifications
VLC Media Player,Toggle Fullscreen,Command+f,Enter or exit fullscreen mode,"media,playback"
VLC Media Player,Faster Playback,Command+=,Increase playback speed,"media,playback"
VLC Media Player,Slower Playback,Command+-,Decrease playback speed,"media,playback"
VLC Media Player,Next Track,Command+Right,Skip to next media file,"media,playback"
VLC Media Player,Previous Track,Command+Left,Skip to previous media file,"media,playback"
VLC Media Player,Stop,Command+.,Stop playback,"media,playback"
VLC Media Player,Jump Very Short Backward,Command+Ctrl+Left,Jump backward by very short interval,"media,navigation"
VLC Media Player,Jump Very Short Forward,Command+Ctrl+Right,Jump forward by very short interval,"media,navigation"
VLC Media Player,Jump Short Backward,Command+Alt+Left,Jump backward by short interval,"media,navigation"
VLC Media Player,Jump Short Forward,Command+Alt+Right,Jump forward by short interval,"media,navigation"
VLC Media Player,Jump Medium Backward,Command+Shift+Left,Jump backward by medium interval,"media,navigation"
VLC Media Player,Jump Medium Forward,Command+Shift+Right,Jump forward by medium interval,"media,navigation"
VLC Media Player,Jump Long Backward,Command+Shift+Alt+Left,Jump backward by long interval,"media,navigation"
VLC Media Player,Jump Long Forward,Command+Shift+Alt+Right,Jump forward by long interval,"media,navigation"
VLC Media Player,Disc Menu,Ctrl+m,Open disc menu,"media,navigation"
VLC Media Player,Previous Title,Ctrl+p,Go to previous title,"media,navigation"
VLC Media Player,Next Title,Ctrl+n,Go to next title,"media,navigation"
VLC Media Player,Previous Chapter,Ctrl+u,Go to previous chapter,"media,navigation"
VLC Media Player,Next Chapter,Ctrl+d,Go to next chapter,"media,navigation"
VLC Media Player,Quit,Command+q,Exit VLC application,"application,control"
VLC Media Player,Volume Up,Command+Up,Increase volume,"audio,control"
VLC Media Player,Volume Down,Command+Down,Decrease volume,"audio,control"
VLC Media Player,Mute,Command+Alt+Down,Toggle mute,"audio,control"
VLC Media Player,Subtitle Sync Mark Audio,Shift+h,Mark audio point for subtitle sync,"subtitle,control"
VLC Media Player,Subtitle Sync Mark Sub,Shift+j,Mark subtitle point for sync,"subtitle,control"
VLC Media Player,Subtitle Sync Apply,Shift+k,Apply subtitle synchronization,"subtitle,control"
VLC Media Player,Subtitle Sync Reset,Command+Shift+k,Reset subtitle synchronization,"subtitle,control"
VLC Media Player,Audio Device Cycle,Shift+a,Cycle through audio devices,"audio,control"
VLC Media Player,Previous Subtitle Track,Alt+s,Go to previous subtitle track,"subtitle,control"
VLC Media Player,Toggle Subtitles,Shift+s,Show or hide subtitles,"subtitle,control"
VLC Media Player,Previous Program,Shift+x,Switch to previous program/stream,"media,navigation"
VLC Media Player,Increase Scale,Alt+o,Increase video scale factor,"video,control"
VLC Media Player,Decrease Scale,Shift+Alt+o,Decrease video scale factor,"video,control"
VLC Media Player,Deinterlace Mode,Shift+d,Cycle deinterlacing modes,"video,control"
VLC Media Player,Take Screenshot,Command+Alt+s,Capture screenshot of video,"video,control"
VLC Media Player,Record,Command+Shift+r,Start or stop recording,"media,recording"
VLC Media Player,Unzoom,Shift+z,Zoom out on video,"video,control"
VLC Media Player,Crop Top,Alt+i,Crop video from top,"video,control"
VLC Media Player,Uncrop Top,Alt+Shift+i,Remove top cropping,"video,control"
VLC Media Player,Crop Left,Alt+j,Crop video from left,"video,control"
VLC Media Player,Uncrop Left,Alt+Shift+j,Remove left cropping,"video,control"
VLC Media Player,Crop Bottom,Alt+k,Crop video from bottom,"video,control"
VLC Media Player,Uncrop Bottom,Alt+Shift+k,Remove bottom cropping,"video,control"
VLC Media Player,Crop Right,Alt+l,Crop video from right,"video,control"
VLC Media Player,Uncrop Right,Alt+Shift+l,Remove right cropping,"video,control"
VLC Media Player,Random,Command+z,Toggle random/shuffle mode,"playlist,control"
VLC Media Player,Loop,Shift+l,Toggle loop mode,"playlist,control"
VLC Media Player,Zoom Quarter,Command+0,Set zoom to 25%,"video,control"
